Study,Review,Country,Age,Age group,Vax type,N,Estimate,Vaccine name,If titers: rSBA or hSBA,0,0.5,1,3,5,6,11,12,18,20,22,23,24,28,30,36,48,90,Overall,Wan,Dur,VE,MenB strain,Format,Extra info
2015McQuaid,,UK,3.5 y,Infants,"Catch-up (40, 42 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"93 (76, 99)",,,,,,"31 (15, 51)",,,,,,,,,,,"0.7863746550380912 (0.7833541033025528, 0.7893952067736296)","1.271658481861373 (1.2667925918718739, 1.2765618968281227)",,NZ98/254 for PorA,Yes,
2015McQuaid,,UK,3.5 y,Infants,"Catch-up (40, 42 m)",2,Titers,4CMenB/Bexsero,hSBA,,,"89 (71, 98)",,,,,,"81 (62, 94)",,,,,,,,,,,"0.14692112681172986 (0.02744375059972877, 0.26639850302373097)","6.806373063565165 (3.753774847266763, 36.4381681857247)",,M10713 for NHBA,Yes,
2015McQuaid,,UK,5 y,Infants,"Catch-up (60, 62 m)",2,Titers,4CMenB/Bexsero,hSBA,"33 (20, 48)",,"92 (79, 98)",,,,,,,,,,,,,,,,,,,,44/76-SL for fHbp,Yes,
2015McQuaid,,UK,5 y,Infants,"Catch-up (60, 62 m)",2,Titers,4CMenB/Bexsero,hSBA,"2 (0.055, 12)",,"100 (91, 100)",,,,,,,,,,,,,,,,,,,,5/99 for NadA,Yes,
2015McQuaid,,UK,5 y,Infants,"Catch-up (60, 62 m)",2,Titers,4CMenB/Bexsero,hSBA,"2 (0.055, 12)",,"100 (91, 100)",,,,,,,,,,,,,,,,,,,,NZ98/254 for PorA,Yes,
2015McQuaid,,UK,5 y,Infants,"Catch-up (60, 62 m)",2,Titers,4CMenB/Bexsero,hSBA,"83 (69, 92)",,"100 (91, 100)",,,,,,,,,,,,,,,,,,,,M10713 for NHBA,Yes,
2016Read,,UK,18-24 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,"66.5 (62, 71)",,"100 (98, 100)","99 (97, 100)","100 (98, 100)",,"95 (90, 98)",,,,,,,,,,,,,"0.014692608528655837 (0.013736282550336347, 0.015648934506975326)","68.06143361470788 (63.90211420172165, 72.79990028856199)",,44/76-SL for fHbp,Yes,"Two doses: first on day 1, second after 1m. Months calculated from administration of second dose"
2016Read,,UK,18-24 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,"52.5 (45, 60)",,"100 (98, 100)","99 (97, 100)","99 (97, 100)",,"97 (94, 99)",,,,,,,,,,,,,"0.030148181893733823 (0.03010743695650461, 0.030188926830963036)","33.16949604207629 (33.124728334972076, 33.214384919070746)",,5/99 for NadA,Yes,
2016Read,,UK,18-24 y,Adolescents,"Catch-up (0,1 m)",2,Titers,4CMenB/Bexsero,hSBA,"47.5 (38, 57)",,"99 (97, 100)","93 (88, 96)","91 (85, 94)",,"85 (78, 89)",,,,,,,,,,,,,"0.19391726125016392 (0.19246036896641516, 0.1953741535339127)","5.156838507067945 (5.118384299622426, 5.195874898143329)",,NZ98/254 for PorA,Yes,
2016Snape,,"Belgium, United Kingdom, Czech Republic, Germany, Italy, Spain",6 m,Infants,"Primary (2,4,6 m Con) ",3,Titers,4CMenB/Bexsero,,,,"100 (97, 100)",,,,,"73 (65, 79)","28 (20, 37)",,,,"13 (7, 20)",,,,,,,"0.3926688145643096 (0.1807981177045464, 0.8528230265279075)","2.546675373519443 (1.1725762190911906, 5.531031034483241)",,44/76-SL for fHbp,Yes,
